D,m_p_sustain,f_nose,L_total,m_p_boost,m_p_terminal,F_boost,b_fin,c_r_fin,fineness,S_ref,m0_kg,range_km,mach_terminal,q_max_kPa,burnout_kg,x_cg_m,converged,feasible,geometry_measured,n_violations,violations,iterations,wall_time_s,message,margin_R3,margin_R6,margin_R7,margin_R8,margin_R9,margin_R10,margin_R11,margin_q_max,margin_grain
0.35,200.0,3.8,3.6,130.0,40.0,45000.0,0.23,0.42,10.285714285714286,0.0962112750161874,576.6543349091239,218.57865809526461,1.6900639317873003,202.5913597237319,206.6543349091239,1.9482816159570204,1,0,0,1,q_max,2,2.937,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.18151,0.12671,0.22222,0.14286,0.47577,0.16919,0.1,-0.01296,0.01022
0.35,235.0,3.0,3.6,130.0,40.0,45000.0,0.23,0.42,10.285714285714286,0.0962112750161874,615.0722190220796,221.44149168596638,1.6128242378378437,184.4967564265563,210.07221902207948,1.9680768178962824,1,0,0,2,R10 static margin|grain L/D upper,2,2.926,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.19698,0.07522,0.22222,0.14286,0.44084,-0.00492,0.1,0.07752,-0.06992
0.35,235.0,3.4,3.6,130.0,40.0,45000.0,0.23,0.42,10.285714285714286,0.0962112750161874,615.4027502604016,232.3379318752313,1.650454019175871,193.20640143932408,210.40275026040155,1.9675603065644465,1,0,0,1,grain L/D upper,2,2.876,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.25588,0.1003,0.22222,0.14286,0.44054,0.0556,0.1,0.03397,-0.06992
0.35,235.0,3.8,3.6,130.0,40.0,45000.0,0.23,0.42,10.285714285714286,0.0962112750161874,615.7389502937393,240.9270510270707,1.6824823706481664,200.77780270322626,210.73895029373932,1.9670645709564898,1,0,0,2,q_max|grain L/D upper,2,3.274,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.30231,0.12165,0.22222,0.14286,0.44024,0.11552,0.1,-0.00389,-0.06992
0.35,275.0,3.0,3.6,130.0,40.0,45000.0,0.23,0.42,10.285714285714286,0.0962112750161874,659.7403508902113,243.79999848061996,1.6084140517323264,183.48914189577866,214.7403508902113,1.986771114612029,1,0,0,2,R10 static margin|grain L/D upper,2,3.086,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.31784,0.07228,0.22222,0.14286,0.40024,-0.05833,0.1,0.08255,-0.16151
0.35,275.0,3.4,3.6,130.0,40.0,45000.0,0.23,0.42,10.285714285714286,0.0962112750161874,660.0708821285333,254.99390749381718,1.6423287726794202,191.30875945219387,215.07088212853333,1.9862801953002267,1,0,0,1,grain L/D upper,2,3.245,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.37835,0.09489,0.22222,0.14286,0.39994,0.00212,0.1,0.04346,-0.16151
0.35,275.0,3.8,3.6,130.0,40.0,45000.0,0.23,0.42,10.285714285714286,0.0962112750161874,660.4070821618711,263.6567659699245,1.6772593624975254,199.53316987981927,215.40708216187116,1.9858084599743968,1,0,0,1,grain L/D upper,2,3.12,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.42517,0.11817,0.22222,0.14286,0.39963,0.06197,0.1,0.00233,-0.16151
0.38,150.0,3.0,3.6,130.0,40.0,45000.0,0.23,0.42,9.473684210526315,0.11341149479459153,524.2555201263058,140.00617291520206,1.4517033628017921,154.78630223737522,204.2555201263058,1.9154279850928457,1,0,0,3,R3 range|R6 terminal Mach|R10 static margin,2,2.003,"converged: d_m0 0.00e+00, d_range 0.00e+00",-0.24321,-0.0322,0.15556,0.14286,0.5234,-0.56667,0.06667,0.22607,0.29362
0.38,150.0,3.4,3.6,130.0,40.0,45000.0,0.23,0.42,9.473684210526315,0.11341149479459153,524.6451422553973,147.15386043635223,1.492528070749732,158.00093907723038,204.64514225539733,1.914781344239712,1,0,0,3,R3 range|R6 terminal Mach|R10 static margin,2,2.034,"converged: d_m0 0.00e+00, d_range 0.00e+00",-0.20457,-0.00498,0.15556,0.14286,0.52305,-0.48431,0.06667,0.21,0.29362
0.38,150.0,3.8,3.6,130.0,40.0,45000.0,0.23,0.42,9.473684210526315,0.11341149479459153,525.0414466212258,153.06963823550933,1.5206832852738492,164.01825881197445,205.04144662122576,1.9141688321564565,1,0,0,2,R3 range|R10 static margin,2,1.871,"converged: d_m0 0.00e+00, d_range 0.00e+00",-0.1726,0.01379,0.15556,0.14286,0.52269,-0.39586,0.06667,0.17991,0.29362
0.38,172.0,3.0,3.6,130.0,40.0,45000.0,0.23,0.42,9.473684210526315,0.11341149479459153,548.8229926537783,152.2950496036555,1.451271449540366,149.38670754833748,206.82299265377833,1.930144585695962,1,0,0,3,R3 range|R6 terminal Mach|R10 static margin,2,2.038,"converged: d_m0 0.00e+00, d_range 0.00e+00",-0.17678,-0.03249,0.15556,0.14286,0.50107,-0.51589,0.06667,0.25307,0.25458
0.38,172.0,3.4,3.6,130.0,40.0,45000.0,0.23,0.42,9.473684210526315,0.11341149479459153,549.2126147828699,160.01361349033337,1.4903744650569895,157.5453011093256,207.21261478286988,1.9295164302487735,1,0,0,3,R3 range|R6 terminal Mach|R10 static margin,2,2.09,"converged: d_m0 0.00e+00, d_range 0.00e+00",-0.13506,-0.00642,0.15556,0.14286,0.50072,-0.43624,0.06667,0.21227,0.25458
0.38,172.0,3.8,3.6,130.0,40.0,45000.0,0.23,0.42,9.473684210526315,0.11341149479459153,549.6089191486983,166.2774985415741,1.5198222316441117,163.8325678996205,207.6089191486983,1.928920672433036,1,0,0,2,R3 range|R10 static margin,2,2.085,"converged: d_m0 0.00e+00, d_range 0.00e+00",-0.1012,0.01321,0.15556,0.14286,0.50036,-0.3477,0.06667,0.18084,0.25458
0.38,200.0,3.0,3.6,130.0,40.0,45000.0,0.23,0.42,9.473684210526315,0.11341149479459153,580.0906849614707,167.49779708013244,1.4517009378478296,149.47513943738247,210.09068496147066,1.9470719746921499,1,0,0,3,R3 range|R6 terminal Mach|R10 static margin,2,2.202,"converged: d_m0 0.00e+00, d_range 0.00e+00",-0.09461,-0.0322,0.15556,0.14286,0.47264,-0.4628,0.06667,0.25262,0.20491
0.38,200.0,3.4,3.6,130.0,40.0,45000.0,0.23,0.42,9.473684210526315,0.11341149479459153,580.4803070905622,175.67563924013237,1.4877459493428007,156.9900780640902,210.48030709056218,1.9464662931958332,1,0,0,3,R3 range|R6 terminal Mach|R10 static margin,2,2.22,"converged: d_m0 0.00e+00, d_range 0.00e+00",-0.0504,-0.00817,0.15556,0.14286,0.47229,-0.38372,0.06667,0.21505,0.20491
0.38,200.0,3.8,3.6,130.0,40.0,45000.0,0.23,0.42,9.473684210526315,0.11341149479459153,580.8766114563906,182.4032681123714,1.5176569830083475,163.36608498617755,210.8766114563906,1.9458910400228226,1,0,0,2,R3 range|R10 static margin,2,2.034,"converged: d_m0 0.00e+00, d_range 0.00e+00",-0.01404,0.01177,0.15556,0.14286,0.47193,-0.29717,0.06667,0.18317,0.20491
0.38,235.0,3.0,3.6,130.0,40.0,45000.0,0.23,0.42,9.473684210526315,0.11341149479459153,619.175300346086,185.499189472776,1.4509735767666823,149.32539074049757,214.17530034608606,1.96582704349397,1,0,0,2,R6 terminal Mach|R10 static margin,2,2.302,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.0027,-0.03268,0.15556,0.14286,0.43711,-0.3868,0.06667,0.25337,0.14281
0.38,235.0,3.4,3.6,130.0,40.0,45000.0,0.23,0.42,9.473684210526315,0.11341149479459153,619.5649224751776,194.3262788554826,1.4857092817102555,156.56054537789458,214.56492247517758,1.965247776402177,1,0,0,2,R6 terminal Mach|R10 static margin,2,2.712,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.05041,-0.00953,0.15556,0.14286,0.43676,-0.31062,0.06667,0.2172,0.14281
0.38,235.0,3.8,3.6,130.0,40.0,45000.0,0.23,0.42,9.473684210526315,0.11341149479459153,619.9612268410059,201.51470226104715,1.5113892610150803,162.01951081150384,214.96122684100598,1.9646967833999218,1,0,0,1,R10 static margin,2,2.579,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.08927,0.00759,0.15556,0.14286,0.4364,-0.22864,0.06667,0.1899,0.14281
0.38,275.0,3.0,3.6,130.0,40.0,45000.0,0.23,0.42,9.473684210526315,0.11341149479459153,663.843432214218,204.77690691430146,1.449666806781328,149.05654219435903,218.8434322142179,1.9845571754666482,1,0,0,2,R6 terminal Mach|R10 static margin,2,2.693,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.1069,-0.03356,0.15556,0.14286,0.39651,-0.32239,0.06667,0.25472,0.07184
0.38,275.0,3.4,3.6,130.0,40.0,45000.0,0.23,0.42,9.473684210526315,0.11341149479459153,664.2330543433095,214.0275082308404,1.484351652078038,156.27454848144336,219.23305434330945,1.984005876126271,1,0,0,2,R6 terminal Mach|R10 static margin,2,2.624,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.15691,-0.01043,0.15556,0.14286,0.39615,-0.25846,0.06667,0.21863,0.07184
0.38,275.0,3.8,3.6,130.0,40.0,45000.0,0.23,0.42,9.473684210526315,0.11341149479459153,664.6293587091378,221.46059220900307,1.5105615786234674,161.84210584924529,219.62935870913785,1.983480728974854,1,0,0,1,R10 static margin,2,2.997,"converged: d_m0 0.00e+00, d_range 0.00e+00",0.19708,0.00704,0.15556,0.14286,0.39579,-0.19517,0.06667,0.19079,0.07184
